;FIG;Weinstock
0;FIG|691.12.PEG.1;BA890_RS14100
1;FIG|691.12.PEG.10;BA890_RS14035
2;FIG|691.12.PEG.100;BA890_RS12670
3;FIG|691.12.PEG.1000;BA890_RS08095
4;FIG|691.12.PEG.1001;BA890_RS08090
5;FIG|691.12.PEG.1002;BA890_RS08085
6;FIG|691.12.PEG.1003;BA890_RS08080
7;FIG|691.12.PEG.1004;BA890_RS08075
8;FIG|691.12.PEG.1005;BA890_RS08070
9;FIG|691.12.PEG.1006;BA890_RS08065
10;FIG|691.12.PEG.1007;BA890_RS08060
11;FIG|691.12.PEG.1008;BA890_RS08055
12;FIG|691.12.PEG.1009;BA890_RS08050
13;FIG|691.12.PEG.101;BA890_RS12665
14;FIG|691.12.PEG.1010;BA890_RS08045
15;FIG|691.12.PEG.1012;BA890_RS08040
16;FIG|691.12.PEG.1013;BA890_RS08035
17;FIG|691.12.PEG.1014;BA890_RS08030
18;FIG|691.12.PEG.1015;BA890_RS08025
19;FIG|691.12.PEG.1016;BA890_RS08020
20;FIG|691.12.PEG.1017;BA890_RS08015
21;FIG|691.12.PEG.1018;BA890_RS08010
22;FIG|691.12.PEG.102;BA890_RS12660
23;FIG|691.12.PEG.1020;BA890_RS08005
24;FIG|691.12.PEG.1021;BA890_RS08000
25;FIG|691.12.PEG.1022;BA890_RS07995
26;FIG|691.12.PEG.1023;BA890_RS07990
27;FIG|691.12.PEG.1024;BA890_RS07985
28;FIG|691.12.PEG.1025;BA890_RS07980
29;FIG|691.12.PEG.1026;BA890_RS07975
30;FIG|691.12.PEG.1027;BA890_RS07970
31;FIG|691.12.PEG.1029;BA890_RS07965
32;FIG|691.12.PEG.103;BA890_RS12655
33;FIG|691.12.PEG.1030;BA890_RS07960
34;FIG|691.12.PEG.1031;BA890_RS07955
35;FIG|691.12.PEG.1032;BA890_RS07950
36;FIG|691.12.PEG.1033;BA890_RS07945
37;FIG|691.12.PEG.1034;BA890_RS07940
38;FIG|691.12.PEG.1035;BA890_RS07930
39;FIG|691.12.PEG.1036;BA890_RS07925
40;FIG|691.12.PEG.1037;BA890_RS07920
41;FIG|691.12.PEG.1038;BA890_RS07915
42;FIG|691.12.PEG.1039;BA890_RS07910
43;FIG|691.12.PEG.104;BA890_RS12650
44;FIG|691.12.PEG.1040;BA890_RS07905
45;FIG|691.12.PEG.1041;BA890_RS07900
46;FIG|691.12.PEG.1042;BA890_RS07895
47;FIG|691.12.PEG.1043;BA890_RS07890
48;FIG|691.12.PEG.1044;BA890_RS07885
49;FIG|691.12.PEG.1045;BA890_RS07880
50;FIG|691.12.PEG.1046;BA890_RS07875
51;FIG|691.12.PEG.1047;BA890_RS07870
52;FIG|691.12.PEG.1048;BA890_RS07865
53;FIG|691.12.PEG.1049;BA890_RS07860
54;FIG|691.12.PEG.105;BA890_RS12645
55;FIG|691.12.PEG.1050;BA890_RS07855
56;FIG|691.12.PEG.1051;BA890_RS07850
57;FIG|691.12.PEG.1052;BA890_RS07845
58;FIG|691.12.PEG.1053;BA890_RS07840
59;FIG|691.12.PEG.1054;BA890_RS07835
60;FIG|691.12.PEG.1056;BA890_RS07830
61;FIG|691.12.PEG.1057;BA890_RS07820
62;FIG|691.12.PEG.1058;BA890_RS07815
63;FIG|691.12.PEG.1059;BA890_RS07810
64;FIG|691.12.PEG.106;BA890_RS12640
65;FIG|691.12.PEG.1060;BA890_RS07805
66;FIG|691.12.PEG.1061;BA890_RS07800
67;FIG|691.12.PEG.1062;BA890_RS07795
68;FIG|691.12.PEG.1063;BA890_RS07790
69;FIG|691.12.PEG.1064;BA890_RS07785
70;FIG|691.12.PEG.1065;BA890_RS07780
71;FIG|691.12.PEG.1066;BA890_RS07775
72;FIG|691.12.PEG.1067;BA890_RS07770
73;FIG|691.12.PEG.1068;BA890_RS07765
74;FIG|691.12.PEG.1069;BA890_RS07760
75;FIG|691.12.PEG.107;BA890_RS12630
76;FIG|691.12.PEG.1070;BA890_RS07755
77;FIG|691.12.PEG.1071;BA890_RS07750
78;FIG|691.12.PEG.1072;BA890_RS07745
79;FIG|691.12.PEG.1073;BA890_RS07740
80;FIG|691.12.PEG.1074;BA890_RS07735
81;FIG|691.12.PEG.1075;BA890_RS07730
82;FIG|691.12.PEG.1076;BA890_RS07725
83;FIG|691.12.PEG.1077;BA890_RS07720
84;FIG|691.12.PEG.1078;BA890_RS07715
85;FIG|691.12.PEG.1079;BA890_RS07705
86;FIG|691.12.PEG.108;BA890_RS12625
87;FIG|691.12.PEG.1080;BA890_RS07700
88;FIG|691.12.PEG.1081;BA890_RS07695
89;FIG|691.12.PEG.1082;BA890_RS07690
90;FIG|691.12.PEG.1083;BA890_RS07685
91;FIG|691.12.PEG.1084;BA890_RS07680
92;FIG|691.12.PEG.1085;BA890_RS07670
93;FIG|691.12.PEG.1086;BA890_RS07665
94;FIG|691.12.PEG.1087;BA890_RS07660
95;FIG|691.12.PEG.1088;BA890_RS07655
96;FIG|691.12.PEG.1089;BA890_RS07650
97;FIG|691.12.PEG.109;BA890_RS12620
98;FIG|691.12.PEG.1092;BA890_RS07640
99;FIG|691.12.PEG.1093;BA890_RS07635
100;FIG|691.12.PEG.1094;BA890_RS07630
101;FIG|691.12.PEG.1095;BA890_RS07625
102;FIG|691.12.PEG.1096;BA890_RS07620
103;FIG|691.12.PEG.1097;BA890_RS07615
104;FIG|691.12.PEG.1098;BA890_RS07610
105;FIG|691.12.PEG.1099;BA890_RS07605
106;FIG|691.12.PEG.11;BA890_RS14030
107;FIG|691.12.PEG.110;BA890_RS12550
108;FIG|691.12.PEG.1100;BA890_RS07600
109;FIG|691.12.PEG.1101;BA890_RS07595
110;FIG|691.12.PEG.1102;BA890_RS07590
111;FIG|691.12.PEG.1103;BA890_RS07585
112;FIG|691.12.PEG.1104;BA890_RS07580
113;FIG|691.12.PEG.1105;BA890_RS07575
114;FIG|691.12.PEG.1106;BA890_RS07570
115;FIG|691.12.PEG.1107;BA890_RS07565
116;FIG|691.12.PEG.1108;BA890_RS07560
117;FIG|691.12.PEG.1109;BA890_RS07555
118;FIG|691.12.PEG.111;BA890_RS12510
119;FIG|691.12.PEG.1110;BA890_RS07550
120;FIG|691.12.PEG.1111;BA890_RS07545
121;FIG|691.12.PEG.1112;BA890_RS07540
122;FIG|691.12.PEG.1113;BA890_RS07535
123;FIG|691.12.PEG.1115;BA890_RS07530
124;FIG|691.12.PEG.1116;BA890_RS07525
125;FIG|691.12.PEG.1117;BA890_RS07520
126;FIG|691.12.PEG.1118;BA890_RS07515
127;FIG|691.12.PEG.1119;BA890_RS07510
128;FIG|691.12.PEG.112;BA890_RS12505
129;FIG|691.12.PEG.1120;BA890_RS07505
130;FIG|691.12.PEG.1121;BA890_RS07500
131;FIG|691.12.PEG.1122;BA890_RS07490
132;FIG|691.12.PEG.1123;BA890_RS07485
133;FIG|691.12.PEG.1124;BA890_RS07480
134;FIG|691.12.PEG.1125;BA890_RS07475
135;FIG|691.12.PEG.1126;BA890_RS07470
136;FIG|691.12.PEG.1127;BA890_RS07465
137;FIG|691.12.PEG.1129;BA890_RS07460
138;FIG|691.12.PEG.113;BA890_RS12500
139;FIG|691.12.PEG.1130;BA890_RS07455
140;FIG|691.12.PEG.1131;BA890_RS07450
141;FIG|691.12.PEG.1132;BA890_RS07445
142;FIG|691.12.PEG.1133;BA890_RS07440
143;FIG|691.12.PEG.1134;BA890_RS07435
144;FIG|691.12.PEG.1135;BA890_RS07430
145;FIG|691.12.PEG.1136;BA890_RS07425
146;FIG|691.12.PEG.1137;BA890_RS07420
147;FIG|691.12.PEG.1138;BA890_RS07415
148;FIG|691.12.PEG.1139;BA890_RS07410
149;FIG|691.12.PEG.114;BA890_RS12495
150;FIG|691.12.PEG.1140;BA890_RS07405
151;FIG|691.12.PEG.1141;BA890_RS07400
152;FIG|691.12.PEG.1142;BA890_RS07395
153;FIG|691.12.PEG.1143;BA890_RS07385
154;FIG|691.12.PEG.1144;BA890_RS07380
155;FIG|691.12.PEG.1145;BA890_RS07375
156;FIG|691.12.PEG.1146;BA890_RS07370
157;FIG|691.12.PEG.1147;BA890_RS07365
158;FIG|691.12.PEG.1148;BA890_RS07360
159;FIG|691.12.PEG.1149;BA890_RS07355
160;FIG|691.12.PEG.115;BA890_RS12490
161;FIG|691.12.PEG.1150;BA890_RS07350
162;FIG|691.12.PEG.1151;BA890_RS07345
163;FIG|691.12.PEG.1152;BA890_RS07340
164;FIG|691.12.PEG.1153;BA890_RS07335
165;FIG|691.12.PEG.1154;BA890_RS07330
166;FIG|691.12.PEG.1155;BA890_RS07325
167;FIG|691.12.PEG.1156;BA890_RS07320
