,FIG,NCBI_protein_ID,NCBI_chr,NCBI_locus,NCBI_protein_desc,NCBI_location
0,FIG|691.12.PEG.1,ALR14475.1,CP009977.1,PN96_00040,phosphatidylserine synthase,complement(6014..7354)
1,FIG|691.12.PEG.2,ALR14476.1,CP009977.1,PN96_00045,acyltransferase,complement(7450..7857)
2,FIG|691.12.PEG.3,ALR14477.1,CP009977.1,PN96_00050,UDP-N-acetylenolpyruvoylglucosamine reductase,7958..9001
3,FIG|691.12.PEG.4,ALR14478.1,CP009977.1,PN96_00055,biotin--[acetyl-CoA-carboxylase] synthetase,8998..9963
4,FIG|691.12.PEG.5,ALR14479.1,CP009977.1,PN96_00060,pantothenate kinase,complement(9973..10896)
5,FIG|691.12.PEG.6,ALR14480.1,CP009977.1,PN96_00085,elongation factor Tu,11619..12803
6,FIG|691.12.PEG.7,ALR14481.1,CP009977.1,PN96_00090,preprotein translocase subunit SecE,13072..13452
7,FIG|691.12.PEG.8,ALR14482.1,CP009977.1,PN96_00095,transcription antiterminator NusG,13466..14014
8,FIG|691.12.PEG.9,ALR14483.1,CP009977.1,PN96_00100,50S ribosomal protein L11,14180..14608
9,FIG|691.12.PEG.10,ALR14484.1,CP009977.1,PN96_00105,50S ribosomal protein L1,14613..15314
10,FIG|691.12.PEG.11,ALR14485.1,CP009977.1,PN96_00110,50S ribosomal protein L10,15607..16101
11,FIG|691.12.PEG.12,ALR14486.1,CP009977.1,PN96_00115,50S ribosomal protein L7/L12,16159..16527
12,FIG|691.12.PEG.13,ALR14487.1,CP009977.1,PN96_00120,DNA-directed RNA polymerase subunit beta,16779..20807
13,FIG|691.12.PEG.14,ALR14488.1,CP009977.1,PN96_00125,DNA-directed RNA polymerase subunit beta',20895..25097
14,FIG|691.12.PEG.15,ALR14489.1,CP009977.1,PN96_00130,anti-RNA polymerase sigma 70 factor,complement(25244..25735)
15,FIG|691.12.PEG.16,ALR14490.1,CP009977.1,PN96_00135,NADH pyrophosphatase,25914..26708
16,FIG|691.12.PEG.17,ALR14491.1,CP009977.1,PN96_00140,uroporphyrinogen decarboxylase,26960..28027
17,FIG|691.12.PEG.18,ALR14492.1,CP009977.1,PN96_00145,IclR family transcriptional regulator,complement(28247..28819)
18,FIG|691.12.PEG.19,ALR14493.1,CP009977.1,PN96_00150,2-ketoacid reductase,complement(28827..29750)
19,FIG|691.12.PEG.20,ALR14494.1,CP009977.1,PN96_00155,hypothetical protein,29817..30404
20,FIG|691.12.PEG.21,ALR14495.1,CP009977.1,PN96_00160,hemolysin,complement(30478..31605)
21,FIG|691.12.PEG.22,ALR14496.1,CP009977.1,PN96_00165,DNA-binding protein,31859..32131
